Unnamed: 0,uid,speakerid,replyid,utterance,offensive,target
678,3.0,全无联,穿条纹睡衣的鱼,是的，而且四川的离婚率是全国最高。,0.0,0.0
760,15.0,小锦鲤是我喵,11馨馨,精确点，是北上深厦广,0.0,0.0
713,9.0,china海洋大学,De-cK,但是视频里这个判的是次责，所以我觉得我应该相信你说的，交警是渎职,0.0,0.0
652,6.0,country铭小家,雨林东路,小仙女嘛 干啥都是应该的 必须的 正常的,1.0,2.0
614,2.0,今天投翔了吗,墩墩作响,那就要怪家长从小没有教育好自己的子女,0.0,0.0
680,11.0,头给你打崴,雨文牙隹广土,看了下这条评论下面非常多的人愿意认领第一个,1.0,2.0
548,6.0,6542233048,0,嘴长楼主身上，先管好你自己吧🤣🤣,1.0,1.0
686,17.0,果酱白鱀一炸,She-and-their-world,颠倒黑白？,0.0,0.0
677,15.0,菩提迦耶-,WhatIf9,我从来没这么喜欢过文字狱,0.0,0.0
726,4.0,萌萌哒的库巴,是孤独的总和,自愿加班,0.0,0.0
750,0.0,好名字都被狗站占了,-1,当前版本t0之间的对抗,0.0,0.0
753,16.0,猫不会微笑ol,美离间祸众国,开老头乐违法上路直接击毙,0.0,0.0
658,1.0,Hentai绅士小林哥,以月光的名义119,不能，还是洋人级别高，而且小仙女也不会对洋人出手,1.0,2.0
727,8.0,九歌希音,浪小花和向小黄,医院自负盈亏，多收人意味着支出增加,0.0,0.0
595,2.0,新玥行空,一巴掌扇死你个逗逼,酒店有义务也有责任保管顾客落在房间内的物品一段时间,0.0,0.0
611,9.0,一颗心只为你s,你的名字_我的心情,不一样的，现在大家其实不是反对预制菜，是反对预制菜进学校，因为监管有难度，预制菜的原材料没法控制，资本会极力压缩成本，到时候孩子们吃到嘴里的就不知道都是些什么东西了,0.0,0.0
539,3.0,2098998834,5219973554,我支持报警，也支持正当维护自己权益。但是起诉要五万，连带着循环十天道歉啥的，真的很鬼屎。,0.0,0.0
702,9.0,铁锈色-,请求丰富朋友圈,哈哈继女来了,1.0,1.0
599,8.0,小猫点烟,搬砖小长工,让你爸穿这身工作服 服务服务我呗,1.0,1.0
520,6.0,2879634557,4272060853,你是,0.0,0.0
651,1.0,iky496新风向,杨小柒57,对标题党故意搞事情,0.0,0.0
694,22.0,追剧嘴碎子,父拔插头人踢狗,对啊，只是举个例子，他穿着板正的警服，腰里别着一支手枪。,0.0,0.0
527,4.0,6013659667,1745516564,在这样的危险里，光腿神器比丝袜更危险,0.0,0.0
521,9.0,4140381298,0,比起男的因为一句想吃草莓就拿烟灰缸砸女朋友 我更相信这是xxn编的 毕竟如果故事里性别换一下 评论区里的女的就要开始质疑了,1.0,2.0
672,6.0,淼淼森林615,鹤鹤lucky,司机卡住了，当时出不来但是没有生命危险。我是后车第一车厢的乘客。,0.0,0.0
653,1.0,abc123_91926,哊伱眞好_,因为是未成年，监护人承担责任啊。17岁的还因为未成年免去15天拘留呢,0.0,0.0
761,9.0,小彭梦,披萨君一般水,为啥都攒了70年有700万了，还要算房贷利息。,0.0,0.0
695,0.0,夕静萧阳,-1,不过玩弄女性不是贬义词吗？贬义词也不能出现在字典？,0.0,0.0
678,1.0,SessionChan,穿条纹睡衣的鱼,四川是四川，成都是成都,0.0,0.0
724,8.0,莫挨你大姐,换个名字就不认识了呀,其实我能理解他的意思，我之前公司有宿舍，是公共厕所，然后是那种上下铺，然后去申请的基本上是真的家里比较困难的，但凡有点条件的都不会去申请。但是后来公司换成了那种公寓式的，很多家里面条件很好的也去申请，然后最后家里有困难的反而申请不到了（陈述事实，没有别的意思）,0.0,0.0
681,3.0,L-usury,安逸的猪_,成都地铁给你回一句，爱坐不坐，不坐自己打车！,0.0,0.0
702,2.0,我就是那个在佩琪身边的张姓胖子,请求丰富朋友圈,这也是为什么西方男造了个easy girl的专属词汇一看到长得帅的就一切都变得easy了,0.0,0.0
729,9.0,云妮洛普与兔子警官,期望事事顺意,放心，南沙南的多于南沙女，要气死也是南的先,1.0,2.0
694,11.0,西贝贾HM,父拔插头人踢狗,我也是不明白,0.0,0.0
751,15.0,半夏半暖032,勇敢的老头儿,怎么说呢，就好像现在很多儿童小汽车一样，别人生产给你，也不是让你开到大马路上去的好吧，都是特定地方开。,0.0,0.0
582,9.0,大湾区小欢喜,小生活呀真呀嘛真好过,我只能呵呵，你看看你的银行账户再说吧，200万活期一个月七八千，银行活菩萨吗,0.0,0.0
516,6.0,1044862298,0,小丑,1.0,1.0
678,4.0,全无联,穿条纹睡衣的鱼,有人说利女的地方结婚率一定高，离婚率一定低吧？四川打你的脸。,0.0,0.0
704,2.0,木木信弘,青海湖西岸,没事，鬼佬很喜欢他们的，只是最后最终结果就不知道了,1.0,2.0
730,4.0,Kavka030,冷水乱马,什么？还在抢救你就给人家放弃了？,0.0,0.0
756,17.0,月阿圆YAY,大凯invoker,大好年华啊，真是……,0.0,0.0
566,4.0,神行太保2000,羽人飞007,技术自己学会了,0.0,0.0
699,6.0,楼月faitself,院子里的流浪猫,因为你们男的看得脏啦,1.0,2.0
655,8.0,避世隐居修改昵称,如履破冰,处理没问题，不是故意伤害的话，过失轻伤不入刑，治安管理处罚法有规定18以下初次行政拘留不执行，医药费这些是双方的事，协商不成法院判决。从警方行政处罚通知书描写看这案子男孩确实先动手，拍了女子上半身以下，而不是男孩家人所谓的看监控都没碰到，,0.0,0.0
758,1.0,知行合一80,United鑫,把.去掉,0.0,0.0
652,5.0,因特拉肯水牛,雨林东路,四岁小孩，法律上没有强迫道歉的权利，监护人道歉就可以了。孩子就算真做错了事，也没有义务道歉。,0.0,0.0
759,3.0,一起去看少时演唱会吧,三公司的二流子,下辈子也买不起,0.0,0.0
651,13.0,Empty-刘,杨小柒57,关键还没打到，多刷几条能刷到原文，他们查了监控孩子根本没碰到她，击打动作是女生击打孩子但奶奶挡着了也没打到，奶奶说孩子不会说话我替他道歉，到了一楼女生拉孩子手把奶俩弄倒了,0.0,0.0
620,3.0,Rudy-CHN1994,行走的于包包,不返还是不对啊，但和涉嫌盗窃有屁关系,0.0,0.0
723,9.0,南初意禾,BESTFORYOU666,慷他人之慨你是懂得的,1.0,1.0
749,7.0,是我多绿了_,最爱言不由衷呀,灵魂拷问你真的是你爹生的吗,1.0,1.0
687,4.0,呆可不是萝莉控,反潜联盟,给汉奸站台是吧？ 查看图片,1.0,2.0
703,4.0,夏目家的小诗哥199711,我的小鼻屎你的小零食,你和你妈都是global toilet,1.0,2.0
683,3.0,哎呀怎么可能呢,椰风挡不住qwer,你认为的没用，,0.0,0.0
556,2.0,5917661748,2359665538,我来澄清一下，我们山东没有这样的厦币,1.0,1.0
588,9.0,花花自己玩,我不是Mr_Chen,有毛病吧，你爱狗人士吃你家大米了吗？,1.0,1.0
739,6.0,哎呀呀活宝呀,客家小书童,可以理解为情急吧,0.0,0.0
695,1.0,眺望蓝天自有阳光,夕静萧阳,玩弄异性不能写？玩弄感情不能写？非要写成女性是吧？,0.0,0.0
675,15.0,种花家-天痕,你看那里有鸽子哟,"""狗是第一位的，xxn算什么东西""",1.0,2.0
520,9.0,5567323574,0,你是？,0.0,0.0
638,22.0,BIGBIGCOCK,不冉而然,这种人就适合网爆他,1.0,1.0
718,9.0,忠厚苟者,更靠谱了吗,虽然你可以自由发言，也很像发炎，但我觉得你依然是个大脑发炎的的人，只是表现方式不是很妥当,1.0,1.0
586,2.0,虢江之卿,8808中文,别脑补了行吗，好好看后续就行了。,0.0,0.0
594,3.0,queenbaby-girl,花样年花样城,终究是对猫狗的法律规定从不落实。,0.0,0.0
747,6.0,吃橘子,王大铁锤11,在听啦！这个圣诞节快乐啦 查看图片,0.0,0.0
676,14.0,鲸鱼不哭2,老刘5G,成都不一直都这样吗,1.0,2.0
725,4.0,原来你也在这里1992,谁的春日啊,我们小区也有，他们租出去，还有养狗的。,0.0,0.0
655,3.0,紫雪Lee,非知名评论委员,监控视频可以证实老人说的话“那个女生殴打老人小孩致老人轻伤一级”,0.0,0.0
683,5.0,nameless1290,椰风挡不住qwer,不能说“你认为”，应该说“我合理的怀疑，成铁一院对国家公祭日阴阳怪气”。因为这是某圣人的意思，“对于人民只要有合理怀疑的证据就可以发声而不属于谣言。”,0.0,0.0
681,15.0,konoha369,三箭航天运输,女子指责偷拍，男子当场说自己是南通，女拳大战lgbt,0.0,0.0
525,1.0,901351482,0,批瘾犯了上小蓝鸟看福利姬去，实验室是科研又不是圆角的场所,1.0,2.0
752,1.0,骑着毛驴追火箭啦,依水莹莹-SeanBobo,对！这才是源头,0.0,0.0
683,0.0,椰风挡不住qwer,-1,我不认为它是在内涵网友，我认为它是在内涵国家公祭日，请严查！,0.0,0.0
676,9.0,SuperleftOvO,G小奶龙龙宝,原批别说话，臭,1.0,1.0
683,9.0,廷平吃糖糖,椰风挡不住qwer,确实，别的地方可能是别的，成都多半是内涵国家,0.0,0.0
581,13.0,mmmmiseryyy,小鑫在路上77,那你问别人捐了多少，就不是多余的咯，无敌咯,0.0,0.0
596,19.0,梦游诗人啊,云萧萧0708,哈哈哈哈哈哈，没知识还愿意说话,1.0,1.0
641,10.0,赤手空拳必胜客,圆耳生物压块机,………不说了，抱着哭,0.0,0.0
706,10.0,神农架山人肆,L小鱼在乎,能在城市养那种狗的人，大部分在当地更不是一般人。,0.0,0.0
684,7.0,你今天你脚离地了吗,绾青丝·七仔,下次地震，别求着瑞典人捐款了，要点志气，我们不如去买狗粮了,0.0,0.0
663,16.0,笨笨猫666,叫你看我头像好看不啦喂,请司机就不堵车了吗笑死我了  你开飞机吧,1.0,1.0
714,5.0,我是TanTanTan,我的沃沃,@成都地铁,0.0,0.0
723,4.0,落莲公子,阳光一直住在心里面,多少钱一条，也给我介绍介绍,1.0,1.0
581,5.0,枯絮辉辉,田田田田嘉瑞6_,找什么存在感,1.0,1.0
675,16.0,二狗今天暴富了没有,种花家-天痕,事实上，对她们来说，自己的利益是排在第一位的，至于为什么会有所谓的爱狗，单纯只是因为自己喜欢，有地方装有爱心罢了,1.0,2.0
753,12.0,USVEDLN,美离间祸众国,就是因为老头乐管的不严，可以无证驾驶才会有那么多不懂交通规则的老年人肆无忌惮的上路吧，每次开车都有老头乐跨线在路上走、逆行，好像路是他们家的一样。我朋友就是骑摩托车让闯红灯的老头乐撞飞出去的，幸好防护装备、头盔都穿戴着要不然能不能活都不知道,0.0,0.0
604,7.0,lifefg,呀哈哟呵,今年都没三不限浪费人力物力了，不然一个岗就几万人报名,0.0,0.0
645,7.0,今晚打了个老虎,LU必须是1,你爸小时候是不是猥亵过你啊？,1.0,1.0
603,18.0,心形线-2a-a,似水年华指间沙,其实国外读研的学费和国内一学期的钱累加起来，国外多不了几万……,0.0,0.0
562,5.0,4853280254,809839291,光嘴上说独立，要钱的时候毫不手软是吧,0.0,0.0
693,18.0,白熊的岛,Cry花开那年,不用做梦呀！现在就可以去，你的后门很有市场的，只是你自己不知道而已～,1.0,1.0
707,5.0,羞羞的皮卡丘尼,喵邪新生,你微博都发的都是爱狗动保文，现在你最爱的狗狗朋友咬死人类，还说人类冷漠，不去反思自己的狗狗为什么咬人？人家敢帮不怕被你网暴？不怕被你开盒，真是双标得一塌糊涂，现场有人打这狗你怕不是哭爹喊娘了吧,1.0,1.0
666,3.0,溪雲主人,岁月静好安暖相伴168,CP024停車 CP032追尾 CP024被撞脫鉤 大概這樣,0.0,0.0
527,3.0,6359266110,1050764227,有道理的,0.0,0.0
584,5.0,养猪猪猪致富,梓凝浅浅,那我月经不调要300w不过分吧,0.0,0.0
756,15.0,花间酌酒,大凯invoker,承担不了就别开车啊 明令禁止无法承担责任的人骑车、开车上路,0.0,0.0
636,1.0,Courage0598,为了愉快冲浪而拉黑沙比这件事,雪花那么美好 你这么爱黑人当然不配,1.0,1.0
510,1.0,4356377680,0,撸勾滚😡,1.0,1.0
747,4.0,_周杰伦,slzlnlrz,你好，我是周杰伦,0.0,0.0
665,16.0,SUN大兽,G阿阿阿敏,上下班路上都算啊，公司不想报吧,0.0,0.0
691,1.0,抹茶红豆奶黄包,俺的豆腐lsn,贬义和侮辱都分不清就别叭叭了,1.0,1.0
681,2.0,Polluxx北河三,安逸的猪_,反正我不敢去成都了，我现在做地铁手机都不敢拿出来,0.0,0.0
608,11.0,是火白王呀,我居然没改名字,是，但人家是大企业连锁店，整这个好多年了，给学校供餐的公司听都没怎么听过,0.0,0.0
621,14.0,25华同学,紫气东来就是我吖,不错,0.0,0.0
610,6.0,宁和和明白人吵架不能和SB聊天,只想有钱的祝大牛2号,其实罐头就是预制菜，国外罐头不放添加剂，也不好吃。就是为了储存的，以鱼肉豆类奶为主。,0.0,0.0
511,3.0,5508195040,6327765806,哥，我在理工 哪有卖的,1.0,2.0
669,8.0,喵呜婧,Bastianyu,有没有帮他们洗，就是说调度系统和防撞击机制在一定范围内有效，遇上特殊情况和偶然因素就出事故了，我只是指出这个条件基础，存在缺陷的时候不出事也不会推动改进，尤其这种大环境,0.0,0.0
715,2.0,昊娃儿喜洋洋乐哈哈GOODLUCK,Barrichello_Hu,树桩子,1.0,1.0
641,18.0,书罢搁笔流墨渐干,红高粱模特队儿范老师,我也，甚至我在大专里也没有学到什么有用的东西（当初瞎选的专业太水了，家里又没有大人帮忙掌眼），但大学时期确实是我这么多年读书生涯里最轻松快乐的了,0.0,0.0
512,3.0,1272375239,0,lz玩，哥们觉得没啥，但真得带,0.0,0.0
749,1.0,最爱言不由衷呀,电梯狂欢okk,你确定他以前的歌都是他自己写的吗？？？？灵魂拷问。 个人认为王力宏，林俊杰创作水平，远在他之上,0.0,0.0
696,11.0,荀兔,王延国com,你又来打南拳啦,1.0,1.0
740,7.0,约等于十YX,多一点点善意,哟，又看到你了，又在评论区来乱放屁了,1.0,1.0
679,2.0,小王上岸上岸,love王星凯,不丢人啊什么成分大家还不知道吗，成都地铁xxn聚集地，你薇学姐就在时刻注意着你,1.0,2.0
753,8.0,晓之虎,美离间祸众国,有人管吗,0.0,0.0
574,3.0,只想见你zs,beautiie,没骂过，只是觉得利用大众同情心敛财太过分了,0.0,0.0
616,25.0,噢呀土豆啊,传奇色彩1998,跟你熟吗？回复我留言干嘛？还是这坏坯子是你孩子？,1.0,1.0
510,3.0,5941052700,4278945617,fvv,1.0,1.0
560,2.0,6346386535,0,姐姐长是什么，姐姐队长？,0.0,0.0
678,12.0,owy不得带手机重生入烤肠,喝汽水必打嗝,妈呀，这句话不是应该给山猴子吗，自卑了一辈子终于有个直辖市可以精神胜利一下，结果一个省大小经济直辖市倒数第二太骄傲了，天天吹山猴子耿直到头来在网上造谣犯见第一名,1.0,1.0
694,13.0,Shawn_Hank,父拔插头人踢狗,按他们的想法要改成别着玩具手枪才合理,0.0,0.0
567,14.0,TTMARRIAN_34243,planetearth,人心有的时候经不起揣测,0.0,0.0
630,2.0,石兰虞,-了无惧色,得了吧。。最开始让她说她也没说十四年，就算她是无心的能说出时间这么短的话也很炸裂，没有文化就少说点话,1.0,1.0
635,7.0,柠萌guard,BAZ93037,别带着北京ip出来丢人。,1.0,1.0
714,3.0,根本英俊C,我的沃沃,对，所以要多谢这个见义勇为的视频拍摄者,0.0,0.0
641,15.0,_陈七七呀,红高粱模特队儿范老师,一样，大学是我最快乐的日子，正常上课，跟室友一起打游戏，出去玩，聚餐。即便我的大学在一个很小不出名的城市，周围什么都没有，回想起来依旧觉得很开心。,0.0,0.0
635,6.0,chours胡麻,BAZ93037,退下吧别给北京丢人了,1.0,1.0
535,5.0,4279932627,3332289305,口蛆快快润,1.0,1.0
570,3.0,岭南道按察使汉青书,石玉食欲诗雨,就是一帮没捐款的人心里很嫉妒的那帮人而已，要么就是他们背后有人推波助澜的搞事情,0.0,0.0
569,17.0,矫情的小xixi,九九vvvvvvvvv,19日一位老人带着一岁小孩被狗咬，那杯老人就是把孩子举在手里然后被狗扑上去咬到了大动脉呢，咬小女孩的狗是罗威纳烈犬，成年男性来了都够呛。从面临可能的危险到后续所有情况发生，这个妈妈始终都在用自己去阻隔凶兽，阻隔、被袭击、她就是想用自己的身体去挡下凶兽的袭击。这点没得质疑母爱！,0.0,0.0
725,16.0,阳光下的海绵宝宝_,人生很赶,我们公租房严格要求家中在京没有房,0.0,0.0
627,3.0,CandyCandyZhe,王法V,都什么年代了，还井盖呢，你亲眼见过谁偷井盖？张口就来？若只？,1.0,1.0
616,8.0,今天也是一个小垃圾,传奇色彩1998,狗要你摸了吗。你问过狗主人的意见没？在这里说什么鬼话,1.0,1.0
582,1.0,大湾区小欢喜,大包王中王,说一下哪家银行的月利率这么高？我想存,0.0,0.0
584,4.0,陈浩南在铜锣湾被偷电瓶,缅交所所长,我割包皮得募捐500w,0.0,0.0
739,3.0,大笑巫婆lin,客家小书童,那要不然呢，医生手也不能到下面污染区啊。其实应该旁边那个医生一直按着患者的手，就可以避免,0.0,0.0
514,2.0,3670767112,1186725800,不能再说了吗,0.0,0.0
576,0.0,星陌然北,-1,那就还给别人啊老弟，不动200万干嘛，存钱给学费吗,0.0,0.0
621,8.0,大漠萧卿云,家居理想宅,李依芮吗？,0.0,0.0
697,8.0,墨弘MoHo,不远万里23406,为啥点进你是女的,0.0,0.0
573,5.0,今夕是何夕521,CforikY_,你捐了可以退的你不会不知道有这个功能吧？,0.0,0.0
635,4.0,Dear-艾利欧,夏日蓝云mm,这个律师有点驻马店口音，没别的意思，接触的人群比较复杂多样,0.0,0.0
641,0.0,杨笑汝,-1,当然不可以。因为在大学学费很低廉的前提下，在大学玩四年对于人生是很重要的经历。要是以后学费赶英超美，那就确实不用念了,0.0,0.0
737,15.0,欧我亲爱的,虹喵小仙女,小米白皮书的问题可不止错别字。而是大学生都写不出这种水平的东西。,0.0,0.0
737,0.0,郑泽文,-1,华为牛逼！！小米加油！小米未来也会牛逼！,0.0,0.0
671,18.0,马斯特里赫,忘忧小绿草,你就算出个交通事故，交警也得来现场勘查，有需要还得调个监控，这都不需要时间？,0.0,0.0
605,13.0,九八年的红领巾,南极撸企鹅,双非有很多  理工类的双非专业对口应该是可以的  我是齐齐哈尔大学的研究生  我感觉说自己双非都特么给自己贴金了,0.0,0.0
749,3.0,雪碧也想喝可乐,最爱言不由衷呀,？那他在快乐大本营现场弹那一段是不是也是彩排过的啊，之前王力宏出新闻的时候也是一堆人说他歌不是自己写的，没必要吧大哥，谁不想做周杰伦还让给他啊🤔,0.0,0.0
629,0.0,一心一毅1617,-1,素质是个好东西，了解一下吧,1.0,1.0
603,12.0,这就是二木大人,似水年华指间沙,没办法，国外门槛低，时间短，国内认可度又高我有钱我也跑出去了,0.0,0.0
632,0.0,鼻丁贱侠,-1,但凡有个妈他也不会这样,1.0,1.0
740,6.0,又一阵穿堂风,多一点点善意,我看你这眼睛也该治治了，去这家也给你按摩按摩,1.0,1.0
755,4.0,纯纯大无语状态,陆屿陌,纯纯不带大脑的言论,1.0,1.0
693,20.0,花园里的橘猫,苍崖明月,男的真的是一言难尽,1.0,2.0
718,11.0,诚实的东东枪,更靠谱了吗,你这是说的什么混账话，还说的没错？！你就安静呆着得了,1.0,1.0
683,13.0,哎呀怎么可能呢,ghhhhhkk,难搞哦。,0.0,0.0
616,4.0,噢呀土豆啊,-1,这孩子，从小就是个坏坯子，狗咬到人，狗主人直接走了固然有错，但是描述事实全然不提自己的过错，说狗主人不管一下狗，人家栓绳了站在狗旁边你自己凑上去不经别人同意上手摸，没有错吗？,1.0,1.0
717,2.0,铸--闲里偷忙,快车夜夜傲游,网传一女子于17日在南京东路步行街对执勤武警进行言语滋扰。发现后，警方即找到该女子核查情况。民警在询问时发现，该女子思维混乱、言语表达不清。经联系该女子在老家的父母，反映其三年前开始有精神异常情况。市精神卫生中心初步诊断，该女子患有精神疾病。目前，女子家属已来沪将继续对其送医治疗。,0.0,0.0
